mjd,filter,visit,detector,DBid,img_mask_area,x_image,y_image,in_ccd,matched,delta_flux,delta_ABmag,instFlux,instFluxErr,psf_eq_NA_px
60685.058253219904,y,748062,18,v748062_d18,0.0,1984.4568968690658,133.88224230375317,1,0,935.767,23.97208068587681,463.30251933825383,566.8827158501126,70.3801867262769
60685.063430221075,y,748072,131,v748072_d131,0.0,1060.9230669134845,63.321461549309106,1,0,936.495,23.971236342513652,463.23582286964984,559.4072208319634,69.0687036659225
60690.14059122454,y,751793,74,v751793_d74,0.0,614.6182750351234,1488.67876753421,1,0,1719.6,23.311431408887575,848.52054475532,582.833404005855,75.2856574331579
60690.16301922338,y,751843,73,v751843_d73,0.0,1708.0466548255827,399.9639298234397,1,0,1722.71,23.309469563199347,850.1479914785876,645.627186827305,78.67823310656266
60687.152694223376,z,749664,2,v749664_d2,0.0,1032.219433171791,317.0662905382451,1,0,1140.86,23.756919116294313,1209.342740875447,598.9521343009743,48.13067209145641
60687.16865922338,z,749697,69,v749697_d69,0.0,2683.3546368981683,3229.516316993624,1,0,1143.47,23.754438062569548,1207.9643548915105,663.7763384207852,53.89467448759434
60693.11888522106,r,753586,129,v753586_d129,0.0,3434.8411563172804,1342.3376505123767,1,1,2221.97,23.033154522491486,4551.271856509784,342.864770449792,30.714057568821584
60739.02937722223,r,787960,131,v787960_d131,0.0,2432.911986055327,1306.05775135153,1,0,256.824,25.375910985575942,520.1805863935851,358.80407600565934,64.88904845165037
60739.04890422338,r,788003,147,v788003_d147,0.0,390.8950429436875,103.02816256231222,1,0,256.563,25.377014937073955,519.8250712844219,356.63349864428426,68.25708893694896
60740.05788321991,r,788845,83,v788845_d83,0.0,2647.1635611531633,3772.4545726345123,1,0,243.773,25.43253599495204,488.27621105014987,513.8548748873011,97.60479788313462
60696.13669222223,g,755808,6,v755808_d6,0.0,1014.6128168779597,2824.399786652931,1,1,898.869,24.015758992921246,2120.7147341326768,212.17350554782576,60.94647677579279
60730.085098219904,g,781459,139,v781459_d139,0.0,1540.991599626537,2628.695740978497,1,0,80.4923,26.635614157075807,189.16784530050222,242.02942618855073,72.08146320649205
60702.08980422338,u,760245,111,v760245_d111,0.0,1205.5705822022942,2397.6798299852376,1,0,35.1182,27.536169380412918,15.114768658305557,68.38703760328475,38.88402876085609
60731.05535622452,u,782201,160,v782201_d160,0.0,1943.1788120489334,170.84166169268178,1,0,6.19602,29.419717972651824,2.657727743632861,74.61301461747675,43.93548946201754
60711.09851922338,i,766972,49,v766972_d49,0.0,3856.959033817393,1355.7515692662673,1,1,1981.78,23.157361396939038,3001.428270489111,290.2812059798783,26.222137532517497
60711.118301224524,i,767014,97,v767014_d97,0.0,2532.7336850442666,3231.149030426287,1,1,1980.46,23.1580848118979,3000.5610627809583,295.54103196490735,27.9287689056773
